fuel_split,KM,LSBMSPackSOC_h6HSC6_init,VehSpdAvgNonDrvn_h1HSC1_mean,VehSpdAvgNonDrvn_h1HSC1_std,EPTAccelActuPosHSC1_mean,EPTAccelActuPosHSC1_std,ACComprActuPwrHSC1_mean,ACComprActuPwrHSC1_std,BrkPdlDrvrAppdPrs_h1HSC1_mean,BrkPdlDrvrAppdPrs_h1HSC1_std,StrgWhlAngHSC1_mean,StrgWhlAngHSC1_std,VSELongtAcc_h1HSC1_mean,VSELongtAcc_h1HSC1_std,predict
3372704,51.64227494,27.9,24.5535236993,21.0877008065,2.91288147499,1.75463705096,0.473383738898,0.111401357823,236.45611581,246.738336074,7.43150233675,31.0420133021,-0.0362332813164,0.0942397124779,4667439.42219
671232,8.57517325,25.4,16.8908838602,13.0674315522,2.47212124423,1.51708191797,0.52320347741,0.0671698547152,252.638814163,107.10787972,11.6391384073,40.7218357763,-0.0289148299105,0.0529983119164,846009.397771
910528,17.48229478,59.5,28.86322458,23.894886,5.332697546,8.514631696,0.167980738,0.063883663,332.1875717,864.4713851,-3.318157258,58.98097066,-0.015926622,0.716300359,169239.172229
440560,22.68449789,82.0,24.7998724685,16.0546597148,4.72563085498,2.75814951123,0.4197547867,0.11668598936,235.116097715,227.331055824,16.1831111119,40.4088042026,-0.066277457351,0.109768915284,1350828.07818
2097088,26.94581203,34.9,24.6155255196,12.6833466725,5.89438414244,2.27523638972,0.381555457356,0.0926591815766,211.115019581,145.011734222,-14.4408566627,47.3231503735,0.053626696214,0.173142730289,2365980.04334
2043696,23.4424805,31.8,26.8813885294,14.422869536,5.32007749089,2.43554090534,0.402950436401,0.109031267829,213.586176705,156.683774984,18.0575654877,37.0816524644,-0.0810641168878,0.114409498164,2251883.08505
2076160,21.20421869,24.9,23.0484044042,18.9799500964,3.52964310501,2.52055499017,0.478019557074,0.105337677266,264.446147756,211.919278226,-3.69445850852,31.7301942526,-0.0311014699603,0.102542020903,1495368.76958
3095664,48.43482794,27.9,23.7245627028,22.2960523813,2.84377540546,1.81502320335,0.494973973375,0.104338449874,249.558732033,165.54469101,4.33035785059,20.2960453266,-0.0451887585733,0.0955255683702,4164576.92745
2372784,20.57173561,23.5,67.2889771,40.52403124,18.21006715,19.75836615,0.0,0.0,168.4603852,415.2878373,-5.655235508,58.51284357,0.014048701,0.778540649,946810.805938
27834944,314.4295471,29.7,26.8777180946,20.7574895347,3.06547292912,1.80653237057,0.470492663148,0.105393059822,273.730203538,258.329415839,3.90153880976,12.574605885,-0.0430254188943,0.0793061871166,31959102.3919
273072,6.11820075,94.1,20.57498617,24.41523611,4.738297805,9.900151977,0.0,0.0,481.9617001,1210.572096,-63.12423998,174.8925751,-0.031101355,0.663457653,-797152.840403
431104,7.717660333,80.0,30.4625655973,22.3939986878,2.8974494041,1.10763443104,0.460292577669,0.0984439133053,181.955666177,139.819747778,4.9827301004,19.1474659003,-0.0523168739684,0.0746151358141,-865738.205188
1400544,14.00616125,23.9,16.2776967866,20.2787913179,1.62086123558,1.29312466143,0.536816965128,0.0960869490204,187.875490675,101.406714236,33.0237451159,27.4929786592,-0.0240542851727,0.0580969153132,1226537.24027
688544,8.456605361,23.8,20.6718072582,18.772877748,2.39996629547,1.54702132061,0.524853433066,0.0862661488005,215.576537518,105.770548138,24.473714524,26.0901677551,-0.0236770730204,0.0538828244333,573062.297261
4202912,46.59193764,23.7,28.1029617485,22.6860695195,5.48282697494,2.18294245167,0.37799386792,0.0861167358871,145.287863956,78.7750524187,-15.6206550225,44.5165786948,-0.113120351457,0.099151075596,4213785.64389
651680,6.651446194,23.2,16.2747314985,11.2271334376,2.47854835117,1.41725377306,0.523370937753,0.0664996188432,255.007835886,91.768433615,12.1743501465,26.612671522,-0.00650687258409,0.0279044445185,532298.585054
955856,10.83821142,25.3,20.2703449181,11.8067630328,2.95183200068,1.18325758004,0.521611404238,0.0522759134997,312.261439101,105.783730727,4.91409447234,10.4730359387,-0.0119446263882,0.0308743305471,568460.369043
49040,21.41501839,80.2,26.1478564342,18.7587488747,4.08770549912,2.64900682093,0.448850330446,0.10970135576,246.79968641,263.098316057,-2.37313590646,25.4097479748,-0.039045733365,0.124300781619,592801.061525
1173488,21.01226847,43.6,25.069502253,21.2427857017,3.77741225854,2.74199192527,0.466277062419,0.113546974046,254.435757967,209.996049363,0.316168287603,27.4703176754,-0.0524406012018,0.102202967866,1114838.17436
2615472,34.23712272,24.9,38.4541134656,21.0849353263,4.98089701473,2.62659520709,0.403379651395,0.110450842268,149.45816188,186.732085311,-17.1950174449,48.0225292311,-0.132338742583,0.128617362475,2874356.16171
1696144,21.42839397,24.7,23.1016940059,18.7422493598,3.6590227873,2.63566035395,0.471899576634,0.112390892563,244.603266026,206.852724268,-0.566780824762,26.2608771615,-0.0349792957028,0.11389232683,1480583.63917
6394384,86.080149,73.0,23.8451834685,22.1332412094,3.07780437175,2.20695198056,0.465667188872,0.113173654273,274.638729553,259.650545541,10.9633150179,28.660443562,-0.0519867104483,0.0973280320744,7628043.56027
5329728,79.85329083,26.1,31.9132411552,23.6397750587,2.88435985982,1.75810299984,0.452884462314,0.11319350017,261.541402613,298.375771395,5.6628003631,20.7282930247,-0.0653695120766,0.0773873352262,7330996.63137
798544,9.342541278,27.8,21.6279391705,20.6568328731,2.32231386898,1.42663999337,0.507834432436,0.0963106301343,235.428246252,146.077469137,14.3365563417,23.7518886645,-0.0375238697235,0.0709673021761,321035.947189
907440,8.1329725,18.6,18.596132794,17.1851858257,2.52657493917,1.83164711064,0.51410269103,0.0937413589415,269.956986316,138.816014691,10.6213085778,27.2630123004,-0.0306373980454,0.0697048965563,479765.583756
33040,9.655505667,77.5,21.3048199687,17.2972827888,2.79132960841,1.52463606342,0.494140721132,0.0865780652108,234.805689928,116.079881305,6.23188914943,24.6799744157,-0.0284026058026,0.0589427049507,-288587.439892
0,8.582241444,97.0,22.2141234686,20.2205820413,2.508667783,1.62176259104,0.503956886839,0.0976988956548,251.973740306,150.057024398,11.6907933031,22.7334659989,-0.0440296301056,0.0734275883123,-772572.537754
50496,9.632884861,80.7,27.672946398,20.6018102848,2.85589060464,1.0386638424,0.475835873659,0.0900110503544,205.702264121,133.71888813,5.36815588012,17.7572670357,-0.0430265916877,0.0688271793287,-611625.363974
931296,36.62940172,83.0,15.9863265618,14.3384713745,2.90530125682,2.16084033143,0.503750053584,0.111788185994,411.491911333,353.792325972,9.30642650663,21.6714379727,-0.000236921229955,0.0947480432623,2368624.06827
2383056,32.07854492,30.9,49.728623791,16.5251013685,6.23012764825,2.08323072268,0.331008231674,0.00892337906847,332.269036948,405.233305921,-8.87255420534,23.3911321119,-0.0642502297621,0.155072733759,2282027.07675
2451024,32.65267128,28.4,53.236574868,14.8581332867,6.20854596848,1.92088411305,0.339280775166,0.0507695337788,277.005051838,363.205439845,-8.36867082211,25.6704882667,-0.0721014152344,0.162266960711,2511393.49117
